promptid,subset,front_FCD,front_FGR,front_FDF,front_ECS,front_OSR,front_cache_hit,front_len_words,front_sha256_12,second_FCD,second_FGR,second_FDF,second_ECS,second_OSR,second_cache_hit,second_len_words,second_sha256_12,third_FCD,third_FGR,third_FDF,third_ECS,third_OSR,third_cache_hit,third_len_words,third_sha256_12,evaluator_substituted
123,realistic,0.5,0.5,0.2,0.2,0.06,1,502,4ff5abf011b7,0.45,0.45,0.25,0.25,0.5,1,156,44497633eb38,0.4,0.4,0.3,0.3,0.05,1,27,b669a1782c48,1
124,realistic,0.55,0.25,0.0,0.1,0.09999999999999999,1,320,4198e3558164,0.65,0.3,0.05,0.2,0.36,1,142,6ed42649cc28,0.75,0.4,0.0,0.3,0.05,1,37,fcbe64ecbe34,0
125,realistic,0.45,0.25,0.15,0.8,0.05,0,402,b529adf1b380,0.3,0.1,0.2,0.9,0.44,1,147,0030506bb0bd,0.4,0.15,0.18,0.85,0.08000000000000002,1,45,5dc9123df0d8,0
126,realistic,0.45,0.25,0.0,0.0,0.3,0,387,aa415d952307,0.35,0.15,0.05,0.1,0.3,0,202,e0e0a52aa78f,0.3,0.1,0.02,0.12,0.09999999999999999,0,71,3cba7dba0d8d,0
127,realistic,0.75,0.25,0.0,1.0,0.19999999999999998,0,283,c0df7974b5c9,0.8,0.2,0.05,0.95,0.36,0,154,44945dcc4ae0,0.85,0.15,0.0,1.0,0.09999999999999999,0,52,fcef84077014,0
128,realistic,0.5,0.25,0.0,0.0,0.19999999999999998,1,326,f0b948e6c54f,0.33,0.17,0.08,0.25,0.36,1,163,74596701435c,0.67,0.0,0.33,1.0,0.09999999999999999,1,57,1673c6f97cc2,0
129,realistic,0.75,0.25,0.0,1.0,0.09999999999999999,1,378,fd704d14bff8,0.8,0.2,0.0,1.0,0.26,1,125,93cc95694aed,0.85,0.15,0.0,1.0,0.09999999999999999,1,62,2979d87513f5,0
130,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,1,424,19cdaf38998b,0.45,0.3,0.2,0.9,0.3,1,127,00d07085dd89,0.6,0.35,0.25,0.85,0.05,1,46,d71a9fe028cd,0
131,realistic,0.45,0.25,0.15,0.3,0.15999999999999998,0,446,23a4ab435e2f,0.35,0.2,0.1,0.4,0.42,0,129,fbb1bc5a6f28,0.25,0.15,0.05,0.5,0.09999999999999999,0,59,ec80e88ab6e7,0
132,realistic,0.55,0.45,0.15,0.8,0.09999999999999999,1,422,aef6280557c0,0.65,0.35,0.2,0.9,0.36,1,130,52f92cbb59a5,0.75,0.25,0.1,1.0,0.09999999999999999,1,37,46c0628ee644,0
133,realistic,0.45,0.25,0.15,0.8,0.05,0,360,3796eb429fe1,0.3,0.1,0.2,0.9,0.3,0,150,10c9d243bd7a,0.4,0.15,0.18,0.85,0.05,0,51,8b56c4ab563c,0
134,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,0,460,3040c2c5e5ec,0.45,0.3,0.2,0.9,0.3,0,132,3911cec9693f,0.6,0.35,0.1,0.85,0.05,0,40,eb24906978c5,0
135,realistic,0.75,0.25,0.0,0.5,0.09999999999999999,1,425,2959cbbdced1,0.6,0.3,0.1,0.8,0.36,1,167,a197af240a07,0.85,0.15,0.05,0.7,0.05,1,58,97fc710689d5,0
136,realistic,0.5,0.5,0.2,0.2,0.06,1,502,4ff5abf011b7,0.45,0.45,0.25,0.25,0.5,1,156,44497633eb38,0.4,0.4,0.3,0.3,0.05,1,27,b669a1782c48,1
137,realistic,0.55,0.25,0.15,0.8,0.19999999999999998,0,433,33475014be9e,0.45,0.3,0.2,0.9,0.36,0,144,42742ba895de,0.6,0.2,0.1,0.85,0.05,0,37,100893f74a7c,0
138,realistic,0.45,0.25,0.15,0.8,0.16000000000000003,1,281,384922dec476,0.3,0.1,0.2,0.9,0.44,1,147,0030506bb0bd,0.4,0.15,0.18,0.85,0.08000000000000002,1,45,5dc9123df0d8,0
139,realistic,0.55,0.45,0.15,0.8,0.19999999999999998,1,392,663d7109fbd4,0.3,0.2,0.4,0.9,0.42,1,127,123e7b6c91ee,0.45,0.35,0.25,0.85,0.05,1,39,0b7336072d7b,0
140,realistic,0.55,0.25,0.0,0.1,0.15999999999999998,0,375,024af39ceca0,0.35,0.15,0.05,0.2,0.36,0,156,38faf9f65091,0.45,0.2,0.0,0.15,0.05,0,49,50bc052b31af,0
141,realistic,0.5,0.5,0.2,0.2,0.19999999999999998,0,445,e83f009dc11a,0.45,0.45,0.25,0.25,0.36,0,165,c6e0c79bc541,0.4,0.4,0.3,0.3,0.05,0,32,b627ec2438b8,1
142,realistic,0.75,0.25,0.0,1.0,0.09999999999999999,1,378,fd704d14bff8,0.8,0.2,0.0,1.0,0.26,1,125,93cc95694aed,0.85,0.15,0.0,1.0,0.09999999999999999,1,62,2979d87513f5,0
143,realistic,0.55,0.25,0.0,0.1,0.06,1,281,71cbb069c5a4,0.4,0.15,0.05,0.2,0.36,1,187,f49f6807d7e7,0.5,0.2,0.0,0.15,0.05,1,97,348ed2c0353c,0
144,realistic,0.45,0.25,0.05,0.3,0.3,0,229,ccf3e1039609,0.35,0.15,0.1,0.5,0.3,0,108,fd797ba76f3d,0.25,0.05,0.2,0.6,0.09999999999999999,1,59,ec80e88ab6e7,0
145,realistic,0.75,0.25,0.0,0.0,0.3,1,296,61bc2be1077f,0.6,0.3,0.1,0.2,0.3,1,147,9a1ed937491d,0.8,0.15,0.05,0.4,0.09999999999999999,1,37,46c0628ee644,0
146,realistic,0.55,0.25,0.0,0.0,0.15999999999999998,0,144,9c65f2a1b527,0.45,0.2,0.05,0.1,0.36,0,123,92e229e2f646,0.4,0.15,0.1,0.2,0.05,0,67,5924f141d3ba,0
147,realistic,0.0,0.0,1.0,1.0,0.05,0,29,94eb50efd33e,0.5,0.25,0.75,0.9,0.44,0,102,800db43a41db,0.0,0.0,1.0,1.0,0.05,0,14,fccc6668955f,0
148,realistic,0.5,0.25,0.0,0.0,0.19999999999999998,0,332,b5166cfbe91e,0.75,0.4,0.2,0.1,0.42,0,164,7c1647fd64f3,0.8,0.45,0.15,0.05,0.06,0,80,879a15d90380,0
149,realistic,0.0,0.0,1.0,1.0,0.05,0,27,1589f51d1c3e,0.5,0.25,0.75,0.75,0.36,0,79,1acbe7753d33,0.0,0.0,1.0,1.0,0.05,0,25,83e1a9aaf408,0
150,realistic,0.45,0.25,0.15,0.8,0.19999999999999998,1,433,33475014be9e,0.35,0.2,0.3,0.9,0.36,1,144,42742ba895de,0.4,0.25,0.1,0.85,0.05,1,37,100893f74a7c,0
151,realistic,0.55,0.25,0.0,1.0,0.24,0,242,83fb79b5403b,0.1,0.05,0.0,1.0,0.42,0,94,76cd649dc54f,0.3,0.15,0.0,1.0,0.05,0,38,d05a12ef5a26,0
152,realistic,0.55,0.25,0.0,0.0,0.09999999999999999,0,306,71dc490baede,0.45,0.3,0.05,0.1,0.36,0,150,8d08425d2e5f,0.6,0.2,0.0,0.15,0.05,0,68,01dfd25e009e,0
153,realistic,0.45,0.25,0.0,0.1,0.3,1,230,d3249b20ae69,0.3,0.15,0.05,0.2,0.44,1,116,8b1611cb5b2a,0.4,0.2,0.0,0.15,0.08000000000000002,1,35,ac39983d72cc,0
154,realistic,0.5,0.5,0.2,0.2,0.19999999999999998,1,445,e83f009dc11a,0.45,0.45,0.25,0.25,0.36,1,165,c6e0c79bc541,0.4,0.4,0.3,0.3,0.05,1,32,b627ec2438b8,1
155,realistic,0.45,0.25,0.15,0.8,0.34,0,283,2a1bfdbc4301,0.3,0.1,0.2,0.9,0.3,0,130,6760dd596544,0.4,0.15,0.25,0.85,0.09999999999999999,0,33,fd64ed1f895f,0
156,realistic,0.45,0.25,0.0,0.0,0.05,0,350,52df65d66f89,0.35,0.15,0.1,0.05,0.3,0,140,82b8c9a75a22,0.3,0.1,0.2,0.15,0.05,0,65,7f98a542b405,0
157,realistic,0.25,0.15,0.0,0.5,0.28,1,362,bdea4cd30fae,0.3,0.2,0.1,0.6,0.42,1,185,619c9ecbbbdd,0.35,0.25,0.05,0.7,0.09999999999999999,1,49,1e9de46b98ef,0
158,realistic,0.45,0.25,0.15,0.8,0.43999999999999995,1,484,a50edbfb332d,0.3,0.1,0.2,0.9,0.42,1,151,74e5f996a0b1,0.4,0.15,0.25,0.95,0.09999999999999999,1,35,9eeccd07766c,0
159,realistic,0.45,0.25,0.15,0.8,0.05,1,360,3796eb429fe1,0.3,0.2,0.1,0.9,0.3,1,150,10c9d243bd7a,0.4,0.25,0.12,0.85,0.05,1,51,8b56c4ab563c,0
160,realistic,0.55,0.25,0.0,0.0,0.09999999999999999,1,460,3040c2c5e5ec,0.45,0.3,0.1,0.2,0.3,1,132,3911cec9693f,0.4,0.25,0.05,0.15,0.05,1,40,eb24906978c5,0
161,realistic,0.45,0.25,0.15,0.8,0.28,0,476,592e4037ae58,0.3,0.2,0.4,0.9,0.42,0,179,62209bf53de3,0.5,0.1,0.3,0.95,0.31999999999999995,0,52,987ee83a8452,0
162,realistic,0.42,0.23,0.12,0.85,0.09999999999999999,0,419,bed2a8cb2bc2,0.31,0.15,0.21,0.92,0.36,0,115,d792a9a7c5ca,0.38,0.18,0.14,0.88,0.05,0,38,3f1d761e9fee,0
163,realistic,0.45,0.25,0.15,0.8,0.19999999999999998,1,433,33475014be9e,0.3,0.1,0.2,0.9,0.36,1,144,42742ba895de,0.4,0.15,0.25,0.85,0.05,1,37,100893f74a7c,0
164,realistic,0.5,0.5,0.2,0.2,0.18,1,572,3b5feb1e4fde,0.45,0.45,0.25,0.25,0.42,1,246,29637ff658b4,0.4,0.4,0.3,0.3,0.08000000000000002,1,61,aade62393b88,1
165,realistic,0.5,0.5,0.2,0.2,0.19999999999999998,0,470,72c4c64be3d3,0.45,0.45,0.25,0.25,0.42,0,197,d1d1c9646f71,0.4,0.4,0.3,0.3,0.31999999999999995,0,65,6894cd8260c8,1
166,realistic,0.55,0.22,0.0,0.0,0.28,1,264,5803b1e48df4,0.45,0.15,0.05,0.1,0.44,1,235,1aee904c65d9,0.4,0.12,0.0,0.15,0.09999999999999999,1,53,9d283e2b8456,0
167,realistic,0.25,0.15,0.05,0.8,0.19999999999999998,1,445,e83f009dc11a,0.35,0.2,0.1,0.9,0.36,1,165,c6e0c79bc541,0.4,0.25,0.05,0.95,0.05,1,32,b627ec2438b8,0
168,realistic,0.8,0.9,0.0,0.0,0.15999999999999998,0,170,9235f2a60319,0.4,0.6,0.2,0.8,0.42,0,177,c71508ea8264,0.5,0.7,0.1,0.9,0.05,0,51,337c6b7cc33b,0
169,realistic,0.25,0.15,0.05,0.0,0.05,0,223,ca4ade2b54c2,0.3,0.2,0.1,0.0,0.26,0,135,c96c4db84422,0.4,0.25,0.15,0.05,0.05,0,53,75ad7a427cf8,0
170,realistic,0.42,0.31,0.12,0.85,0.08000000000000002,0,238,0ea762f56dd6,0.35,0.25,0.18,0.92,0.36,0,150,6467ea7b5180,0.28,0.2,0.22,0.98,0.05,0,67,929ddc911274,0
171,realistic,0.45,0.25,0.0,0.1,0.09999999999999999,1,198,fcb6b7288210,0.3,0.15,0.05,0.2,0.36,1,130,01f2bca485a6,0.4,0.2,0.0,0.3,0.09999999999999999,1,59,60fad183562f,0
172,realistic,0.45,0.25,0.05,0.1,0.28,0,278,653191ee6dc8,0.3,0.15,0.2,0.25,0.42,0,164,ea9622b79fd8,0.4,0.2,0.1,0.15,0.09999999999999999,0,34,f2aed3376dd7,0
173,realistic,0.45,0.25,0.0,0.5,0.05,0,275,7fa0c3087d45,0.35,0.2,0.1,0.6,0.44,0,118,28086862af79,0.3,0.15,0.05,0.7,0.05,0,63,9b5a32c819fe,0
174,realistic,0.45,0.25,0.1,0.8,0.19999999999999998,0,400,f94e7ebee888,0.3,0.15,0.05,0.9,0.36,0,205,1affec32cc24,0.2,0.1,0.0,1.0,0.26,0,67,3586826fce2e,0
175,realistic,0.55,0.25,0.05,0.1,0.09999999999999999,0,283,4ff19bfb0132,0.65,0.3,0.15,0.2,0.36,0,114,ce317e9ea46f,0.6,0.25,0.1,0.15,0.05,0,56,70ca0038b16a,0
176,realistic,0.55,0.25,0.0,0.1,0.19999999999999998,0,233,eb7f912e0593,0.45,0.3,0.05,0.2,0.19999999999999998,0,146,3b978b36e978,0.65,0.15,0.0,0.3,0.06,0,44,5cfa62053748,0
177,realistic,0.25,0.15,0.05,0.8,0.38,0,337,69e3faf8d714,0.2,0.1,0.1,0.9,0.44,0,192,eaae423d14b2,0.22,0.12,0.08,0.85,0.09999999999999999,0,72,f17cc74a01ae,0
178,realistic,0.55,0.25,0.0,0.0,0.05,0,232,16572f1215f4,0.45,0.15,0.05,0.1,0.36,0,110,f5bafdd7671c,0.5,0.2,0.02,0.08,0.05,0,42,eebace457b2a,0
179,realistic,0.55,0.22,0.01,0.85,0.3,0,248,90e6970cf0dd,0.42,0.15,0.02,0.92,0.19999999999999998,0,122,f2f6c6dff027,0.48,0.18,0.03,0.88,0.05,0,51,094ffe36cfdb,0
180,realistic,0.5,0.5,0.2,0.2,0.19999999999999998,1,445,e83f009dc11a,0.45,0.45,0.25,0.25,0.36,1,165,c6e0c79bc541,0.4,0.4,0.3,0.3,0.05,1,32,b627ec2438b8,1
181,realistic,0.5,0.5,0.2,0.2,0.15999999999999998,1,365,10b2fd3c2ff7,0.45,0.45,0.25,0.25,0.36,1,296,e0c6fc8f960a,0.4,0.4,0.3,0.3,0.05,1,59,81469f91c5e1,1
182,realistic,0.0,1.0,0.0,0.0,0.09999999999999999,1,300,76737354559e,0.5,0.75,0.25,0.25,0.36,1,169,66b6ad650d48,0.8,0.9,0.1,0.2,0.05,1,49,d3af064eaeed,0
183,realistic,0.42,0.31,0.0,0.25,0.3,1,346,ecd8978bebea,0.38,0.29,0.05,0.3,0.36,1,178,dd7c65090910,0.45,0.33,0.0,0.35,0.26,1,50,4390e30693e9,0
184,realistic,0.55,0.22,0.01,0.0,0.05,0,330,07f249fa6855,0.38,0.15,0.02,0.05,0.3,0,130,26b3761018ae,0.45,0.2,0.01,0.03,0.05,0,36,64f329e95d52,0
185,realistic,0.45,0.25,0.15,0.8,0.05,1,360,3796eb429fe1,0.3,0.1,0.2,0.9,0.3,1,150,10c9d243bd7a,0.4,0.15,0.18,0.85,0.05,1,51,8b56c4ab563c,0
186,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,1,460,3040c2c5e5ec,0.4,0.2,0.3,0.9,0.3,1,132,3911cec9693f,0.45,0.15,0.25,0.85,0.05,1,40,eb24906978c5,0
187,realistic,0.45,0.25,0.15,0.8,0.09999999999999999,0,431,a06eb69449e7,0.3,0.1,0.2,0.95,0.36,0,135,5526c35cc4f9,0.4,0.15,0.25,0.9,0.05,0,27,a3bd7caf60e9,0
188,realistic,0.42,0.25,0.12,0.85,0.09999999999999999,1,419,bed2a8cb2bc2,0.31,0.18,0.22,0.92,0.36,1,115,d792a9a7c5ca,0.38,0.21,0.15,0.88,0.05,1,38,3f1d761e9fee,0
189,realistic,0.45,0.25,0.15,0.8,0.19999999999999998,1,433,33475014be9e,0.35,0.2,0.3,0.9,0.36,1,144,42742ba895de,0.4,0.25,0.1,0.85,0.05,1,37,100893f74a7c,0
190,realistic,0.55,0.25,0.15,0.8,0.05,0,305,746f92f754a6,0.4,0.2,0.3,0.9,0.36,0,136,4ca8edf0ed93,0.5,0.25,0.2,0.85,0.05,0,51,9fdf22df6544,0
191,realistic,0.5,0.5,0.2,0.2,0.09999999999999999,0,394,4fa75cb9e2dd,0.45,0.45,0.25,0.25,0.3,0,144,1a09e3ce5432,0.4,0.4,0.3,0.3,0.09999999999999999,0,39,7bc5ae889d8e,1
192,realistic,0.75,0.25,0.0,1.0,0.19999999999999998,1,283,c0df7974b5c9,0.8,0.2,0.05,0.95,0.36,1,154,44945dcc4ae0,0.85,0.15,0.0,1.0,0.09999999999999999,1,52,fcef84077014,0
193,realistic,0.5,0.5,0.2,0.2,0.19999999999999998,1,445,e83f009dc11a,0.45,0.45,0.25,0.25,0.36,1,165,c6e0c79bc541,0.4,0.4,0.3,0.3,0.05,1,32,b627ec2438b8,1
194,realistic,0.8,0.4,0.0,0.0,0.09999999999999999,0,170,6b449847fb53,0.6,0.3,0.1,0.2,0.36,0,136,e31e02e5db80,0.4,0.2,0.0,0.3,0.09999999999999999,0,51,448ec7e9c8f8,0
195,realistic,0.55,0.25,0.15,0.8,0.09999999999999999,1,424,19cdaf38998b,0.45,0.3,0.1,0.9,0.3,1,127,00d07085dd89,0.6,0.2,0.12,0.85,0.05,1,46,d71a9fe028cd,0
196,realistic,0.55,0.25,0.15,0.8,0.15999999999999998,1,313,84cfc93f969e,0.65,0.3,0.1,0.9,0.42,1,175,b0e02793be85,0.7,0.35,0.05,0.95,0.15999999999999998,1,71,eeeea7c3aeac,0
197,realistic,0.55,0.45,0.15,0.8,0.09999999999999999,1,422,aef6280557c0,0.65,0.35,0.2,0.9,0.36,1,130,52f92cbb59a5,0.75,0.25,0.1,1.0,0.09999999999999999,1,37,46c0628ee644,0
198,realistic,0.5,0.25,0.0,0.0,0.05,1,516,75855bab37dd,0.6,0.3,0.1,0.2,0.36,1,155,92e3df106426,0.7,0.4,0.0,0.3,0.05,1,57,f0f4f7cf0663,0
199,realistic,0.5,0.5,0.2,0.2,0.19999999999999998,1,367,57c2dc43083a,0.45,0.45,0.25,0.25,0.36,1,161,e469f611ae06,0.4,0.4,0.3,0.3,0.05,1,40,7092a612880b,1
200,realistic,0.55,0.45,0.0,0.2,0.05,0,582,9096206c4d8b,0.3,0.25,0.1,0.5,0.26,0,170,81ea39f14bab,0.4,0.35,0.05,0.3,0.05,0,36,fbf78f2cb474,0
201,realistic,0.55,0.45,0.15,0.85,0.44,0,404,49126ba66694,0.65,0.35,0.2,0.9,0.42,0,107,711281d9aa41,0.75,0.25,0.1,0.95,0.19999999999999998,0,50,f5350047b549,0
202,realistic,0.5,0.5,0.2,0.2,0.06,1,640,cc6f93f64af7,0.45,0.45,0.25,0.25,0.5,1,170,2d4b4f7fe1da,0.4,0.4,0.3,0.3,0.05,1,41,7e0dec0a48f8,1
203,realistic,0.45,0.25,0.1,0.8,0.3,0,498,f23603387835,0.35,0.15,0.05,0.9,0.42,0,197,299b1d900dde,0.3,0.1,0.0,1.0,0.09999999999999999,0,64,22b9238c17b1,0
204,realistic,0.55,0.45,0.15,0.8,0.19999999999999998,1,392,663d7109fbd4,0.3,0.2,0.4,0.9,0.42,1,127,123e7b6c91ee,0.45,0.35,0.25,0.85,0.05,1,39,0b7336072d7b,0
205,realistic,0.75,0.25,0.0,0.5,0.42,1,519,3d015bbc22b3,0.8,0.2,0.0,0.6,0.26,1,107,df99f41728ab,0.85,0.15,0.0,0.4,0.05,1,47,ee36aca71d54,0
206,realistic,0.55,0.25,0.15,0.8,0.5,1,339,b002e9b87f96,0.4,0.3,0.2,0.9,0.42,1,123,039edb821b06,0.6,0.35,0.1,0.95,0.05,1,62,3c84948d245b,0
207,realistic,0.55,0.45,0.25,0.75,0.09999999999999999,1,378,fd704d14bff8,0.65,0.35,0.15,0.85,0.26,1,125,93cc95694aed,0.6,0.4,0.2,0.8,0.09999999999999999,1,62,2979d87513f5,0
208,realistic,0.55,0.25,0.0,0.0,0.06,1,281,71cbb069c5a4,0.45,0.15,0.1,0.2,0.36,1,187,f49f6807d7e7,0.6,0.3,0.05,0.15,0.05,1,97,348ed2c0353c,0
209,realistic,0.0,1.0,0.5,1.0,0.05,1,27,7fc977d581ed,0.25,0.75,0.8,0.9,0.44,1,114,d05ca94ae252,1.0,0.0,0.0,1.0,0.05,1,18,5a4ac81cbea8,0
210,realistic,0.75,0.25,0.0,0.0,0.3,1,296,61bc2be1077f,0.6,0.3,0.1,0.2,0.3,1,147,9a1ed937491d,0.8,0.15,0.05,0.4,0.09999999999999999,1,37,46c0628ee644,0
211,realistic,0.55,0.35,0.0,0.2,0.06,0,314,e26ba5948d8e,0.3,0.25,0.15,0.6,0.42,0,167,75d3b0f2deff,0.45,0.3,0.05,0.4,0.05,0,34,187075c0b151,0
212,realistic,0.85,0.2,0.05,0.9,0.05,1,263,142fef8bb3ff,0.6,0.3,0.15,0.8,0.36,1,126,389431c600ad,0.75,0.25,0.1,0.85,0.05,1,46,d097c6774c67,0
213,realistic,0.45,0.25,0.0,0.1,0.3,0,284,ac49e91e1eab,0.35,0.2,0.15,0.3,0.42,0,245,f2e64d469635,0.4,0.25,0.05,0.2,0.05,0,87,59d35bbaf833,0
214,realistic,0.75,0.25,0.0,1.0,0.36,0,241,d48f24df2ddf,0.8,0.2,0.0,1.0,0.36,0,139,a7f8759a90dc,0.85,0.15,0.0,1.0,0.05,0,67,6593df6b03c7,0
215,realistic,0.55,0.22,0.01,0.0,0.06,1,204,106a9b0d2bd4,0.45,0.15,0.02,0.05,0.3,1,96,c0f6bdeea8ea,0.4,0.1,0.03,0.1,0.05,1,57,451f2eb4b70c,0
216,realistic,0.45,0.25,0.1,0.8,0.08000000000000002,0,316,d4c9ac2fbe70,0.3,0.15,0.2,0.95,0.42,0,120,4c5bae1869e6,0.4,0.2,0.15,0.9,0.09999999999999999,0,64,20ee9b0e2824,0
217,stress,0.0,0.0,0.0,1.0,0.05,0,19,442d13f6d645,0.5,0.25,0.75,0.9,0.3,0,67,6cf050a47375,0.0,0.0,1.0,1.0,0.05,0,18,7204e59e9067,0
218,stress,0.75,0.0,0.25,1.0,0.05,0,21,f152e6832ae2,0.5,0.33,0.67,0.75,0.36,0,106,9043b2042c10,0.6,0.0,0.4,1.0,0.05,0,28,4ccb95a249e3,0
219,stress,0.0,1.0,0.0,0.0,0.12,0,17,bbdb56ab3ab1,0.5,0.75,0.25,0.75,0.48,0,70,b146b0a48c8b,0.0,1.0,0.0,0.0,0.05,0,20,93892df424cb,0
220,stress,0.45,0.25,0.05,0.0,0.19999999999999998,0,412,60f795dd536c,0.1,0.05,0.8,1.0,0.42,0,130,a04b2b8ca7e8,0.15,0.1,0.6,0.9,0.09999999999999999,0,42,2069e1ab2318,0
221,stress,0.45,0.25,0.0,0.1,0.3,0,478,e8119c04f073,0.3,0.15,0.05,0.5,0.36,0,122,eee4fa89e6b5,0.4,0.2,0.0,0.6,0.3,0,33,8bae8b4a3284,0
222,stress,0.85,0.2,0.0,0.0,0.19999999999999998,0,436,a939ba002f95,0.15,1.0,0.8,0.9,0.56,0,115,e6b550421243,0.1,1.0,0.95,0.99,0.05,0,23,0362b8353aa2,0
223,stress,0.0,0.0,1.0,1.0,0.05,0,23,badcdabd5403,0.5,0.25,0.75,0.9,0.36,0,88,c00b8942e150,0.0,0.0,1.0,1.0,0.05,0,22,12480e786418,0
224,stress,0.45,0.25,0.0,0.0,0.19999999999999998,0,489,1d6e3d204d23,0.1,0.05,1.0,1.0,0.62,0,196,264e11160536,0.0,0.0,0.0,1.0,0.05,0,14,c1703cabbb1a,0
225,stress,0.0,1.0,0.0,0.0,0.05,0,21,1832baa5cc51,0.5,0.25,0.0,0.0,0.36,0,54,70775ea76861,1.0,0.0,0.0,0.0,0.05,0,22,34919cd2aa02,0
226,stress,0.0,0.0,1.0,0.0,0.05,0,22,0b13cb58078f,0.25,0.5,0.75,0.5,0.36,0,70,de1f5e011168,0.33,0.67,0.83,0.67,0.05,0,18,8bd8b63b9cba,0
227,stress,0.45,0.25,0.15,0.8,0.31999999999999995,0,480,20fbe275782d,0.1,0.05,0.9,1.0,0.42,0,168,06500d49678c,0.0,0.0,1.0,1.0,0.05,0,36,f87c45bd8653,0
228,stress,0.45,0.25,0.0,0.1,0.3,0,353,87914c0a14d0,0.3,0.15,0.05,0.2,0.38,0,126,1a1ba93e17ea,0.4,0.2,0.1,0.3,0.19999999999999998,0,37,aa63332eb378,0
229,stress,0.45,0.25,0.05,0.0,0.09999999999999999,0,398,8c14cc710ef1,0.3,0.15,0.1,0.5,0.42,0,178,b2eabf0f9438,0.0,0.0,0.0,1.0,0.05,0,73,55537896e294,0
230,stress,0.85,0.65,0.15,0.2,0.09999999999999999,0,541,7514c669ce76,0.3,0.1,0.8,0.9,0.5,0,229,949b1609a817,0.2,0.05,0.95,1.0,0.09999999999999999,0,30,79f7e053adbc,0
231,stress,0.45,0.25,0.15,0.8,0.36,0,299,8094bb74de58,0.3,0.1,0.2,0.9,0.42,0,105,e8eb91a5a1b0,0.4,0.15,0.25,0.85,0.26,0,18,14f1b35aef4b,0
232,stress,0.45,0.25,0.0,0.0,0.09999999999999999,0,410,c20a3c189b0c,0.3,0.15,0.1,0.05,0.38,0,178,a675c32dee8b,0.2,0.0,0.3,1.0,0.05,0,41,63d36b992e5a,0
233,stress,0.5,0.5,0.2,0.2,0.3,0,411,24de832f5b88,0.45,0.45,0.25,0.25,0.36,0,181,5993eada4fb1,0.4,0.4,0.3,0.3,0.05,0,17,bd37d51f1ee5,1
234,stress,0.75,0.0,0.25,1.0,0.05,1,21,f152e6832ae2,0.5,0.33,0.67,0.75,0.36,1,106,9043b2042c10,0.83,0.0,0.17,1.0,0.05,1,28,4ccb95a249e3,0
235,stress,0.55,0.35,0.12,0.85,0.05,0,356,d4eec32426d3,0.45,0.25,0.18,0.92,0.36,0,142,6899accc6200,0.35,0.15,0.22,0.98,0.05,0,61,f0f1d41297d1,0
236,stress,0.42,0.31,0.0,0.0,0.09999999999999999,0,389,d91d4a0c2cd6,0.15,0.1,0.05,0.9,0.42,1,130,a04b2b8ca7e8,0.2,0.12,0.03,0.85,0.09999999999999999,1,42,2069e1ab2318,0
237,stress,0.85,0.65,0.0,0.1,0.3,0,373,43b382a75683,0.6,0.4,0.2,0.5,0.48,0,185,d4f1389caea5,0.7,0.55,0.15,0.6,0.19999999999999998,0,32,7c6280e2e1e7,0
238,stress,0.85,0.2,0.0,0.0,0.19999999999999998,0,428,9138b420eebb,0.4,0.8,0.1,0.5,0.5,0,183,f704a7280d8b,0.3,1.0,0.2,0.8,0.06,0,61,99f521b58131,0
239,stress,0.0,0.0,1.0,1.0,0.05,0,38,0bd8c5129990,0.25,0.5,0.75,0.75,0.36,0,86,4c6fa2bcf94c,1.0,0.0,0.0,1.0,0.05,0,35,4d46a5061ab3,0
240,stress,0.42,0.31,0.0,0.0,0.05,0,385,7c4afefa0a9d,0.18,0.12,0.5,1.0,0.5,0,219,feaaf73d0f54,0.0,0.0,0.0,1.0,0.05,1,14,c1703cabbb1a,0
241,stress,0.45,0.25,0.0,0.1,0.09999999999999999,0,349,b12a90b0cd2c,0.2,0.15,0.05,0.8,0.5,0,275,e416a2e0cacd,0.1,0.0,0.2,1.0,0.05,0,43,0b8177164582,0
242,stress,0.85,0.75,0.0,0.0,0.05,0,454,028c44b69025,0.2,0.1,1.0,1.0,0.5,0,174,26f645280250,0.05,0.05,0.95,0.95,0.05,0,39,49cf8dbb9785,0
243,stress,0.85,0.65,0.0,0.0,0.05,0,302,4ddda378562f,0.6,0.4,0.1,0.2,0.44,0,191,65e80b29cf4f,0.55,0.35,0.15,0.3,0.26,0,61,a23f2d688e67,0
244,stress,0.85,0.2,0.0,0.0,0.09999999999999999,0,257,9cf0467dc732,0.6,0.4,0.0,0.0,0.19999999999999998,0,102,c28e32b10d93,0.1,0.5,0.0,1.0,0.05,0,17,aec87ce5c49e,0
245,stress,0.45,0.25,0.0,0.0,0.09999999999999999,0,362,5b4b3cd2abad,0.1,0.05,0.2,0.8,0.44,0,175,c114a95c3b66,0.0,0.0,0.5,1.0,0.05,0,51,e1d3a67d643b,0
246,stress,0.45,0.25,0.0,0.0,0.05,0,396,a49702512f76,0.3,0.15,0.05,0.1,0.3,0,116,247f7fef5f4b,0.0,0.0,0.0,1.0,0.05,0,30,2224c36e1a08,0
